Date,Time,Zone,Device,PPM,VOC
12/23/2021,00:12,Zone1,T3,424,3
12/23/2021,00:12,Zone1,T4,935,81
12/23/2021,00:12,Zone2,T1,534,20
12/23/2021,00:12,Zone2,T2,486,13
12/23/2021,00:13,Zone1,T1,502,15
12/23/2021,00:13,Zone1,T2,524,18
12/23/2021,00:13,Zone1,T3,416,2
12/23/2021,00:13,Zone1,T4,923,79
12/23/2021,00:13,Zone2,T1,498,14
12/23/2021,00:13,Zone2,T2,447,7
12/23/2021,00:14,Zone1,T1,531,19
12/23/2021,00:14,Zone1,T2,428,4
12/23/2021,00:14,Zone1,T3,428,4
12/23/2021,00:14,Zone1,T4,857,69
12/23/2021,00:14,Zone2,T1,496,14
12/23/2021,00:14,Zone2,T2,486,13
12/23/2021,00:15,Zone1,T1,542,21
12/23/2021,00:15,Zone1,T2,496,14
12/23/2021,00:15,Zone1,T3,415,2
12/23/2021,00:15,Zone1,T4,930,80
12/23/2021,00:15,Zone2,T1,546,22
12/23/2021,00:15,Zone2,T2,473,11
12/23/2021,00:16,Zone1,T1,493,14
12/23/2021,00:16,Zone1,T2,519,18
12/23/2021,00:16,Zone1,T3,428,4
12/23/2021,00:16,Zone1,T4,918,78
12/23/2021,00:16,Zone2,T1,542,21
12/23/2021,00:16,Zone2,T2,477,11
12/23/2021,00:17,Zone1,T1,508,16
12/23/2021,00:17,Zone1,T2,451,7
12/23/2021,00:17,Zone1,T3,418,2
12/23/2021,00:17,Zone1,T4,927,80
12/23/2021,00:17,Zone2,T1,508,16
12/23/2021,00:17,Zone2,T2,493,14
12/23/2021,00:18,Zone1,T1,536,20
12/23/2021,00:18,Zone1,T2,533,20
12/23/2021,00:18,Zone1,T3,434,5
12/23/2021,00:18,Zone1,T4,882,73
12/23/2021,00:19,Zone1,T1,508,16
12/23/2021,00:19,Zone1,T2,497,14
12/23/2021,00:19,Zone2,T1,542,21
12/23/2021,00:19,Zone2,T2,493,14
12/23/2021,00:20,Zone1,T1,531,19
12/23/2021,00:20,Zone1,T2,470,10
12/23/2021,00:20,Zone1,T3,406,0
12/23/2021,00:20,Zone1,T4,897,75
12/23/2021,00:20,Zone2,T1,519,18
12/23/2021,00:20,Zone2,T2,457,8
12/23/2021,00:21,Zone1,T1,543,21
12/23/2021,00:21,Zone1,T2,514,17
12/23/2021,00:21,Zone1,T3,414,2
12/23/2021,00:21,Zone1,T4,923,79
12/23/2021,00:21,Zone2,T1,477,11
12/23/2021,00:21,Zone2,T2,492,14
12/23/2021,00:22,Zone1,T1,526,19
12/23/2021,00:22,Zone1,T2,514,17
12/23/2021,00:22,Zone1,T3,407,1
12/23/2021,00:22,Zone1,T4,855,69
12/23/2021,00:22,Zone2,T1,492,14
12/23/2021,00:22,Zone2,T2,448,7
12/23/2021,00:23,Zone1,T1,552,23
12/23/2021,00:23,Zone1,T2,421,3
12/23/2021,00:23,Zone1,T3,427,4
12/23/2021,00:23,Zone1,T4,935,81
12/23/2021,00:23,Zone2,T1,530,19
12/23/2021,00:23,Zone2,T2,493,14
12/23/2021,00:24,Zone1,T1,564,24
12/23/2021,00:24,Zone1,T2,533,20
12/23/2021,00:24,Zone1,T3,418,2
12/23/2021,00:24,Zone1,T4,855,69
12/23/2021,00:24,Zone2,T1,530,19
12/23/2021,00:24,Zone2,T2,441,6
12/23/2021,00:25,Zone1,T1,518,17
12/23/2021,00:25,Zone1,T2,463,9
12/23/2021,00:25,Zone1,T3,434,5
12/23/2021,00:25,Zone1,T4,865,70
12/23/2021,00:25,Zone2,T1,475,11
12/23/2021,00:25,Zone2,T2,488,13
12/23/2021,00:26,Zone1,T1,506,16
12/23/2021,00:26,Zone1,T2,420,3
12/23/2021,00:26,Zone1,T3,400,0
12/23/2021,00:26,Zone1,T4,909,77
12/23/2021,00:26,Zone2,T1,496,14
12/23/2021,00:26,Zone2,T2,428,4
12/23/2021,00:27,Zone1,T1,531,19
12/23/2021,00:27,Zone1,T2,517,17
12/23/2021,00:27,Zone1,T3,438,5
12/23/2021,00:27,Zone1,T4,787,58
12/23/2021,00:27,Zone2,T1,537,20
12/23/2021,00:27,Zone2,T2,485,12
12/23/2021,00:28,Zone1,T1,502,15
12/23/2021,00:28,Zone1,T2,517,17
12/23/2021,00:28,Zone1,T3,406,0
12/23/2021,00:28,Zone1,T4,895,75
12/23/2021,00:28,Zone2,T1,519,18
12/23/2021,00:28,Zone2,T2,414,2
12/23/2021,00:29,Zone1,T3,406,0
12/23/2021,00:29,Zone1,T4,834,66
12/23/2021,00:30,Zone1,T1,543,21
12/23/2021,00:30,Zone1,T2,517,17
12/23/2021,00:30,Zone2,T1,492,14
12/23/2021,00:30,Zone2,T2,426,3
12/23/2021,00:31,Zone1,T1,531,19
12/23/2021,00:31,Zone1,T2,500,15
12/23/2021,00:31,Zone1,T3,406,0
12/23/2021,00:31,Zone1,T4,830,65
12/23/2021,00:31,Zone2,T1,542,21
12/23/2021,00:31,Zone2,T2,473,11
12/23/2021,00:32,Zone1,T1,493,14
12/23/2021,00:32,Zone1,T2,459,8
12/23/2021,00:32,Zone1,T3,421,3
12/23/2021,00:32,Zone1,T4,900,76
12/23/2021,00:32,Zone2,T1,524,18
12/23/2021,00:32,Zone2,T2,500,15
12/23/2021,00:33,Zone1,T1,542,21
12/23/2021,00:33,Zone1,T2,552,23
12/23/2021,00:33,Zone1,T3,416,2
12/23/2021,00:33,Zone1,T4,838,66
12/23/2021,00:33,Zone2,T1,464,9
12/23/2021,00:33,Zone2,T2,457,8
12/23/2021,00:34,Zone1,T1,523,18
12/23/2021,00:34,Zone1,T2,478,11
12/23/2021,00:34,Zone1,T3,424,3
12/23/2021,00:34,Zone1,T4,927,80
12/23/2021,00:34,Zone2,T1,503,15
12/23/2021,00:34,Zone2,T2,501,15
12/23/2021,00:35,Zone1,T1,518,17
12/23/2021,00:35,Zone1,T2,411,1
12/23/2021,00:35,Zone1,T3,400,0
12/23/2021,00:35,Zone1,T4,848,68
12/23/2021,00:35,Zone2,T1,549,22
12/23/2021,00:35,Zone2,T2,444,6
12/23/2021,00:36,Zone1,T1,542,21
12/23/2021,00:36,Zone1,T2,505,15
12/23/2021,00:36,Zone1,T3,445,6
12/23/2021,00:36,Zone1,T4,913,78
12/23/2021,00:36,Zone2,T1,524,18
12/23/2021,00:36,Zone2,T2,503,15
12/23/2021,00:37,Zone1,T1,531,19
12/23/2021,00:37,Zone1,T2,478,11
12/23/2021,00:37,Zone1,T3,414,2
12/23/2021,00:37,Zone1,T4,923,79
12/23/2021,00:37,Zone2,T1,464,9
12/23/2021,00:37,Zone2,T2,425,3
12/23/2021,00:38,Zone1,T1,506,16
12/23/2021,00:38,Zone1,T2,491,13
12/23/2021,00:38,Zone1,T3,428,4
12/23/2021,00:38,Zone1,T4,819,63
12/23/2021,00:40,Zone1,T1,508,16
12/23/2021,00:40,Zone1,T2,463,9
12/23/2021,00:40,Zone2,T1,496,14
12/23/2021,00:40,Zone2,T2,508,16
12/23/2021,00:41,Zone1,T1,493,14
12/23/2021,00:41,Zone1,T2,478,11
12/23/2021,00:41,Zone1,T3,417,2
12/23/2021,00:41,Zone1,T4,905,76
12/23/2021,00:41,Zone2,T1,464,9
12/23/2021,00:41,Zone2,T2,407,1
12/23/2021,00:42,Zone1,T1,543,21
12/23/2021,00:42,Zone1,T2,529,19
12/23/2021,00:42,Zone1,T3,423,3
12/23/2021,00:42,Zone1,T4,825,64
12/23/2021,00:42,Zone2,T1,503,15
12/23/2021,00:42,Zone2,T2,521,18
12/23/2021,00:43,Zone1,T1,530,19
12/23/2021,00:43,Zone1,T2,529,19
12/23/2021,00:43,Zone1,T3,427,4
12/23/2021,00:43,Zone1,T4,885,73
12/23/2021,00:43,Zone2,T1,555,23
12/23/2021,00:43,Zone2,T2,409,1
12/23/2021,00:44,Zone1,T1,493,14
12/23/2021,00:44,Zone1,T2,452,7
12/23/2021,00:44,Zone1,T3,418,2
12/23/2021,00:44,Zone1,T4,806,61
12/23/2021,00:44,Zone2,T1,498,14
12/23/2021,00:44,Zone2,T2,521,18
12/23/2021,00:45,Zone1,T1,543,21
12/23/2021,00:45,Zone1,T2,503,15
12/23/2021,00:45,Zone1,T3,444,6
12/23/2021,00:45,Zone1,T4,927,80
12/23/2021,00:45,Zone2,T1,482,12
12/23/2021,00:45,Zone2,T2,460,9
12/23/2021,00:46,Zone1,T1,530,19
12/23/2021,00:46,Zone1,T2,498,14
12/23/2021,00:46,Zone1,T3,423,3
12/23/2021,00:46,Zone1,T4,851,68
12/23/2021,00:46,Zone2,T1,503,15
12/23/2021,00:46,Zone2,T2,487,13
12/23/2021,00:47,Zone1,T1,506,16
12/23/2021,00:47,Zone1,T2,488,13
12/23/2021,00:47,Zone1,T3,442,6
12/23/2021,00:47,Zone1,T4,804,61
12/23/2021,00:47,Zone2,T1,549,22
12/23/2021,00:47,Zone2,T2,514,17
12/23/2021,00:48,Zone1,T1,531,19
12/23/2021,00:48,Zone1,T2,515,17
12/23/2021,00:48,Zone1,T3,427,4
12/23/2021,00:48,Zone1,T4,848,68
12/23/2021,00:48,Zone2,T1,519,18
12/23/2021,00:48,Zone2,T2,470,10
12/23/2021,00:49,Zone1,T1,542,21
12/23/2021,00:49,Zone1,T2,501,15
12/23/2021,00:49,Zone1,T3,427,4
12/23/2021,00:49,Zone1,T4,754,53
12/23/2021,00:49,Zone2,T1,487,13
12/23/2021,00:49,Zone2,T2,514,17
12/23/2021,00:50,Zone1,T1,502,15
12/23/2021,00:50,Zone1,T2,480,12
12/23/2021,00:50,Zone1,T3,435,5
12/23/2021,00:50,Zone1,T4,770,56
12/23/2021,00:50,Zone2,T1,561,24
12/23/2021,00:50,Zone2,T2,435,5
12/23/2021,00:51,Zone1,T1,523,18
12/23/2021,00:51,Zone1,T2,435,5
12/23/2021,00:51,Zone1,T3,444,6
12/23/2021,00:51,Zone1,T4,808,62
12/23/2021,00:51,Zone2,T1,524,18
12/23/2021,00:51,Zone2,T2,522,18
12/23/2021,00:52,Zone1,T3,426,3
12/23/2021,00:52,Zone1,T4,853,69
12/23/2021,00:53,Zone1,T1,530,19
12/23/2021,00:53,Zone1,T2,480,12
12/23/2021,00:53,Zone2,T1,487,13
12/23/2021,00:53,Zone2,T2,506,16
12/23/2021,00:54,Zone1,T1,496,14
12/23/2021,00:54,Zone1,T2,455,8
12/23/2021,00:54,Zone1,T3,428,4
12/23/2021,00:54,Zone1,T4,836,66
12/23/2021,00:54,Zone2,T1,555,23
12/23/2021,00:54,Zone2,T2,408,1
12/23/2021,00:55,Zone1,T1,508,16
12/23/2021,00:55,Zone1,T2,501,15
12/23/2021,00:55,Zone1,T3,434,5
12/23/2021,00:55,Zone1,T4,726,49
12/23/2021,00:55,Zone2,T1,517,17
12/23/2021,00:55,Zone2,T2,506,16
12/23/2021,00:56,Zone1,T1,523,18
12/23/2021,00:56,Zone1,T2,486,13
12/23/2021,00:56,Zone1,T3,434,5
12/23/2021,00:56,Zone1,T4,889,74
12/23/2021,00:56,Zone2,T1,470,10
12/23/2021,00:56,Zone2,T2,400,0
12/23/2021,00:57,Zone1,T1,502,15
12/23/2021,00:57,Zone1,T2,508,16
12/23/2021,00:57,Zone1,T3,434,5
12/23/2021,00:57,Zone1,T4,800,60
12/23/2021,00:57,Zone2,T1,519,18
12/23/2021,00:57,Zone2,T2,526,19
12/23/2021,00:58,Zone1,T1,543,21
12/23/2021,00:58,Zone1,T2,501,15
12/23/2021,00:58,Zone1,T3,454,8
12/23/2021,00:58,Zone1,T4,844,67
12/23/2021,00:58,Zone2,T1,519,18
12/23/2021,00:58,Zone2,T2,465,9
12/23/2021,00:59,Zone1,T1,498,14
12/23/2021,00:59,Zone1,T2,459,8
12/23/2021,00:59,Zone1,T3,439,5
12/23/2021,00:59,Zone1,T4,810,62
12/23/2021,00:59,Zone2,T1,519,18
12/23/2021,00:59,Zone2,T2,508,16
12/23/2021,01:00,Zone1,T1,531,19
12/23/2021,01:00,Zone1,T2,465,9
12/23/2021,01:00,Zone1,T3,454,8
12/23/2021,01:00,Zone1,T4,853,69
12/23/2021,01:00,Zone2,T1,462,9
12/23/2021,01:00,Zone2,T2,534,20
12/23/2021,01:01,Zone1,T1,530,19
12/23/2021,01:01,Zone1,T2,495,14
12/23/2021,01:01,Zone1,T3,434,5
12/23/2021,01:01,Zone1,T4,851,68
12/23/2021,01:01,Zone2,T1,503,15
12/23/2021,01:01,Zone2,T2,490,13
12/23/2021,01:02,Zone1,T1,542,21
12/23/2021,01:02,Zone1,T2,491,13
12/23/2021,01:02,Zone1,T3,426,3
12/23/2021,01:02,Zone1,T4,730,50
12/23/2021,01:02,Zone2,T1,519,18
12/23/2021,01:02,Zone2,T2,542,21
12/23/2021,01:03,Zone1,T1,498,14
12/23/2021,01:03,Zone1,T2,434,5
12/23/2021,01:03,Zone1,T3,434,5
12/23/2021,01:03,Zone1,T4,865,70
12/23/2021,01:03,Zone2,T1,530,19
12/23/2021,01:03,Zone2,T2,473,11
12/23/2021,01:04,Zone1,T1,523,18
12/23/2021,01:04,Zone1,T2,482,12
12/23/2021,01:04,Zone1,T3,444,6
12/23/2021,01:04,Zone1,T4,749,53
12/23/2021,01:04,Zone2,T1,450,7
12/23/2021,01:04,Zone2,T2,534,20
12/23/2021,01:05,Zone1,T1,506,16
12/23/2021,01:05,Zone1,T2,476,11
12/23/2021,01:05,Zone1,T3,444,6
12/23/2021,01:05,Zone1,T4,895,75
12/23/2021,01:05,Zone2,T1,508,16
12/23/2021,01:05,Zone2,T2,451,7
12/23/2021,01:06,Zone1,T1,518,17
12/23/2021,01:06,Zone1,T2,503,15
12/23/2021,01:06,Zone1,T3,438,5
12/23/2021,01:06,Zone1,T4,761,54
12/23/2021,01:06,Zone2,T1,517,17
12/23/2021,01:06,Zone2,T2,530,19
12/23/2021,01:07,Zone1,T1,518,17
12/23/2021,01:07,Zone1,T2,487,13
12/23/2021,01:07,Zone1,T3,461,9
12/23/2021,01:07,Zone1,T4,800,60
12/23/2021,01:07,Zone2,T1,519,18
12/23/2021,01:07,Zone2,T2,417,2
12/23/2021,01:08,Zone1,T1,530,19
12/23/2021,01:08,Zone1,T2,487,13
12/23/2021,01:08,Zone1,T3,452,7
12/23/2021,01:08,Zone1,T4,813,62
12/23/2021,01:08,Zone2,T1,487,13
12/23/2021,01:08,Zone2,T2,526,19
12/23/2021,01:09,Zone1,T1,508,16
12/23/2021,01:09,Zone1,T2,432,4
12/23/2021,01:09,Zone1,T3,452,7
12/23/2021,01:09,Zone1,T4,868,71
12/23/2021,01:09,Zone2,T1,519,18
12/23/2021,01:09,Zone2,T2,403,0
12/23/2021,01:10,Zone1,T1,531,19
12/23/2021,01:10,Zone1,T2,462,9
12/23/2021,01:10,Zone1,T3,442,6
12/23/2021,01:10,Zone1,T4,754,53
12/23/2021,01:10,Zone2,T1,517,17
12/23/2021,01:10,Zone2,T2,518,17
12/23/2021,01:11,Zone1,T1,523,18
12/23/2021,01:11,Zone1,T2,508,16
12/23/2021,01:11,Zone1,T3,456,8
12/23/2021,01:11,Zone1,T4,728,49
12/23/2021,01:11,Zone2,T1,503,15
12/23/2021,01:11,Zone2,T2,447,7
12/23/2021,01:12,Zone1,T1,498,14
12/23/2021,01:12,Zone1,T2,486,13
12/23/2021,01:12,Zone1,T3,441,6
12/23/2021,01:12,Zone1,T4,778,57
12/23/2021,01:12,Zone2,T1,486,13
12/23/2021,01:12,Zone2,T2,508,16
12/23/2021,01:13,Zone1,T1,543,21
12/23/2021,01:13,Zone1,T2,518,17
12/23/2021,01:13,Zone1,T3,441,6
12/23/2021,01:13,Zone1,T4,768,56
12/23/2021,01:13,Zone2,T1,498,14
12/23/2021,01:13,Zone2,T2,508,16
12/23/2021,01:14,Zone1,T1,526,19
12/23/2021,01:14,Zone1,T2,502,15
12/23/2021,01:14,Zone1,T3,448,7
12/23/2021,01:14,Zone1,T4,895,75
12/23/2021,01:14,Zone2,T1,517,17
12/23/2021,01:14,Zone2,T2,490,13
12/23/2021,01:15,Zone1,T1,518,17
12/23/2021,01:15,Zone1,T2,450,7
12/23/2021,01:15,Zone1,T3,441,6
12/23/2021,01:15,Zone1,T4,706,46
12/23/2021,01:15,Zone2,T1,537,20
12/23/2021,01:15,Zone2,T2,518,17
12/23/2021,01:16,Zone1,T1,531,19
12/23/2021,01:16,Zone1,T2,486,13
12/23/2021,01:16,Zone1,T3,457,8
12/23/2021,01:16,Zone1,T4,877,72
12/23/2021,01:16,Zone2,T1,492,14
12/23/2021,01:16,Zone2,T2,475,11
12/23/2021,01:17,Zone1,T1,518,17
12/23/2021,01:17,Zone1,T2,508,16
12/23/2021,01:17,Zone1,T3,438,5
12/23/2021,01:17,Zone1,T4,761,54
12/23/2021,01:17,Zone2,T1,492,14
12/23/2021,01:17,Zone2,T2,518,17
12/23/2021,01:18,Zone1,T1,506,16
12/23/2021,01:18,Zone1,T2,424,3
12/23/2021,01:18,Zone1,T3,445,6
12/23/2021,01:18,Zone1,T4,804,61
12/23/2021,01:18,Zone2,T1,496,14
12/23/2021,01:18,Zone2,T2,475,11
12/23/2021,01:19,Zone1,T1,496,14
12/23/2021,01:19,Zone1,T2,502,15
12/23/2021,01:19,Zone1,T3,434,5
12/23/2021,01:19,Zone1,T4,780,57
12/23/2021,01:19,Zone2,T1,477,11
12/23/2021,01:19,Zone2,T2,518,17
12/23/2021,01:20,Zone1,T1,548,22
12/23/2021,01:20,Zone1,T2,487,13
12/23/2021,01:20,Zone1,T3,454,8
12/23/2021,01:20,Zone1,T4,851,68
12/23/2021,01:20,Zone2,T1,530,19
12/23/2021,01:20,Zone2,T2,457,8
12/23/2021,01:21,Zone1,T1,530,19
12/23/2021,01:21,Zone1,T2,441,6
12/23/2021,01:21,Zone1,T3,436,5
12/23/2021,01:21,Zone1,T4,798,60
12/23/2021,01:21,Zone2,T1,492,14
12/23/2021,01:21,Zone2,T2,505,15
12/23/2021,01:22,Zone1,T1,518,17
12/23/2021,01:22,Zone1,T2,493,14
12/23/2021,01:22,Zone1,T3,448,7
12/23/2021,01:22,Zone1,T4,880,73
12/23/2021,01:22,Zone2,T1,542,21
12/23/2021,01:22,Zone2,T2,444,6
12/23/2021,01:23,Zone1,T1,526,19
12/23/2021,01:23,Zone1,T2,505,15
12/23/2021,01:23,Zone1,T3,436,5
12/23/2021,01:23,Zone1,T4,749,53
12/23/2021,01:23,Zone2,T1,459,8
12/23/2021,01:23,Zone2,T2,508,16
12/23/2021,01:24,Zone1,T1,508,16
12/23/2021,01:24,Zone1,T2,472,10
12/23/2021,01:24,Zone1,T3,434,5
12/23/2021,01:24,Zone1,T4,840,67
12/23/2021,01:24,Zone2,T1,530,19
12/23/2021,01:24,Zone2,T2,432,4
12/23/2021,01:25,Zone1,T1,531,19
12/23/2021,01:25,Zone1,T2,486,13
12/23/2021,01:25,Zone1,T3,428,4
12/23/2021,01:25,Zone1,T4,791,59
12/23/2021,01:25,Zone2,T1,519,18
12/23/2021,01:25,Zone2,T2,508,16
12/23/2021,01:26,Zone1,T1,518,17
12/23/2021,01:26,Zone1,T2,503,15
12/23/2021,01:26,Zone1,T3,434,5
12/23/2021,01:26,Zone1,T4,746,52
12/23/2021,01:26,Zone2,T1,542,21
12/23/2021,01:26,Zone2,T2,416,2
12/23/2021,01:27,Zone1,T1,526,19
12/23/2021,01:27,Zone1,T2,459,8
12/23/2021,01:27,Zone1,T3,435,5
12/23/2021,01:27,Zone1,T4,827,65
12/23/2021,01:27,Zone2,T1,470,10
12/23/2021,01:27,Zone2,T2,490,13
12/23/2021,01:28,Zone1,T1,498,14
12/23/2021,01:28,Zone1,T2,519,18
12/23/2021,01:28,Zone1,T3,439,5
12/23/2021,01:28,Zone1,T4,744,52
12/23/2021,01:28,Zone2,T1,534,20
12/23/2021,01:28,Zone2,T2,508,16
12/23/2021,01:29,Zone1,T1,526,19
12/23/2021,01:29,Zone1,T2,477,11
12/23/2021,01:29,Zone1,T3,451,7
12/23/2021,01:29,Zone1,T4,834,66
12/23/2021,01:29,Zone2,T1,496,14
12/23/2021,01:29,Zone2,T2,482,12
12/23/2021,01:30,Zone1,T1,518,17
12/23/2021,01:30,Zone1,T2,423,3
12/23/2021,01:30,Zone1,T3,439,5
12/23/2021,01:30,Zone1,T4,783,58
12/23/2021,01:30,Zone2,T1,546,22
12/23/2021,01:30,Zone2,T2,521,18
12/23/2021,01:31,Zone1,T1,518,17
12/23/2021,01:31,Zone1,T2,529,19
12/23/2021,01:31,Zone1,T3,455,8
12/23/2021,01:31,Zone1,T4,749,53
12/23/2021,01:31,Zone2,T1,454,8
12/23/2021,01:31,Zone2,T2,465,9
12/23/2021,01:32,Zone1,T1,530,19
12/23/2021,01:32,Zone1,T2,488,13
12/23/2021,01:32,Zone2,T1,517,17
12/23/2021,01:32,Zone2,T2,526,19
12/23/2021,01:33,Zone1,T1,526,19
12/23/2021,01:33,Zone1,T2,427,4
12/23/2021,01:33,Zone1,T3,438,5
12/23/2021,01:33,Zone1,T4,759,54
12/23/2021,01:33,Zone2,T1,542,21
12/23/2021,01:33,Zone2,T2,451,7
12/23/2021,01:34,Zone1,T1,531,19
12/23/2021,01:34,Zone1,T2,501,15
12/23/2021,01:34,Zone1,T3,434,5
12/23/2021,01:34,Zone1,T4,787,58
12/23/2021,01:34,Zone2,T1,537,20
12/23/2021,01:34,Zone2,T2,521,18
12/23/2021,01:35,Zone1,T1,526,19
12/23/2021,01:35,Zone1,T2,478,11
12/23/2021,01:35,Zone1,T3,445,6
12/23/2021,01:35,Zone1,T4,717,48
12/23/2021,01:35,Zone2,T1,459,8
12/23/2021,01:35,Zone2,T2,422,3
12/23/2021,01:36,Zone1,T1,508,16
12/23/2021,01:36,Zone1,T2,435,5
12/23/2021,01:36,Zone1,T3,424,3
12/23/2021,01:36,Zone1,T4,774,56
12/23/2021,01:36,Zone2,T1,470,10
12/23/2021,01:36,Zone2,T2,518,17
12/23/2021,01:37,Zone1,T1,487,13
12/23/2021,01:37,Zone1,T2,473,11
12/23/2021,01:37,Zone1,T3,424,3
12/23/2021,01:37,Zone1,T4,757,54
12/23/2021,01:37,Zone2,T1,530,19
12/23/2021,01:37,Zone2,T2,420,3
12/23/2021,01:38,Zone1,T1,530,19
12/23/2021,01:38,Zone1,T2,482,12
12/23/2021,01:38,Zone1,T3,446,7
12/23/2021,01:38,Zone1,T4,838,66
12/23/2021,01:38,Zone2,T1,503,15
12/23/2021,01:38,Zone2,T2,508,16
12/23/2021,01:39,Zone1,T1,518,17
12/23/2021,01:39,Zone1,T2,460,9
12/23/2021,01:39,Zone1,T3,451,7
12/23/2021,01:39,Zone1,T4,752,53
12/23/2021,01:39,Zone2,T1,487,13
12/23/2021,01:39,Zone2,T2,403,0
12/23/2021,01:40,Zone1,T1,508,16
12/23/2021,01:40,Zone1,T2,500,15
12/23/2021,01:40,Zone1,T3,447,7
12/23/2021,01:40,Zone1,T4,851,68
12/23/2021,01:40,Zone2,T1,492,14
12/23/2021,01:40,Zone2,T2,505,15
12/23/2021,01:41,Zone1,T1,530,19
12/23/2021,01:41,Zone1,T2,459,8
12/23/2021,01:41,Zone1,T3,455,8
12/23/2021,01:41,Zone1,T4,733,50
12/23/2021,01:41,Zone2,T1,487,13
12/23/2021,01:41,Zone2,T2,454,8
12/23/2021,01:42,Zone1,T1,531,19
12/23/2021,01:42,Zone1,T2,477,11
12/23/2021,01:42,Zone1,T3,435,5
12/23/2021,01:42,Zone1,T4,813,62
12/23/2021,01:42,Zone2,T1,517,17
12/23/2021,01:42,Zone2,T2,505,15
12/23/2021,01:43,Zone1,T3,428,4
12/23/2021,01:43,Zone1,T4,761,54
12/23/2021,01:44,Zone1,T1,526,19
12/23/2021,01:44,Zone1,T2,486,13
12/23/2021,01:44,Zone2,T1,498,14
12/23/2021,01:44,Zone2,T2,482,12
12/23/2021,01:45,Zone1,T1,530,19
12/23/2021,01:45,Zone1,T2,459,8
12/23/2021,01:45,Zone1,T3,428,4
12/23/2021,01:45,Zone1,T4,742,52
12/23/2021,01:45,Zone2,T1,542,21
12/23/2021,01:45,Zone2,T2,521,18
12/23/2021,01:46,Zone1,T1,518,17
12/23/2021,01:46,Zone1,T2,462,9
12/23/2021,01:46,Zone1,T3,439,5
12/23/2021,01:46,Zone1,T4,780,57
12/23/2021,01:46,Zone2,T1,542,21
12/23/2021,01:46,Zone2,T2,457,8
12/23/2021,01:47,Zone1,T1,523,18
12/23/2021,01:47,Zone1,T2,470,10
12/23/2021,01:47,Zone1,T3,426,3
12/23/2021,01:47,Zone1,T4,768,56
